id;nom;n;k;amax;NbRun;nbLevel;ite0_moyenne;ite0_variance;score0_moyenne;score0_variance;CPU0_moyenne;CPU0_variance;start;ite_moyenne;ite_variance;score_moyenne;score_variance;CPU_moyenne;CPU_variance;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;0;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;1;29.44;87.3664;9880406.11077772;138183802684.54;0.151109;0.00236012;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;2;34.67;162.261;10191554.7276787;225874605292.282;0.162959;0.00368499;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;3;39.69;130.214;10661890.0959736;287484127823.35;0.17369;0.00234011;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;4;42.99;135.59;11347539.774684;757774201586.113;0.17424;0.00191256;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;5;45.75;109.327;12098986.6961082;877558272656.615;0.1767;0.00142476;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;6;52.58;171.744;12984924.1385294;1438634203656.17;0.192551;0.00224268;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;7;56.99;196.33;14027580.4984759;929938507430.944;0.197511;0.00222556;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;8;59.73;194.537;15255799.7174175;940937877004.681;0.195891;0.0020251;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;9;64.3;154.61;16568534.7292907;908519927754.185;0.195491;0.00125139;
8;segmentation;2100;10;210;100;10;24.88;83.3856;9831101.30786682;132872893109.698;0.140918;0.00242238;10;66.86;203.56;16559808.8546101;925923827905.468;0.203092;0.00196042;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;0;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;1;33.49;83.2099;5273377.10684718;182908261379.453;0.252724;0.00341886;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;2;38.07;160.025;5471474.76585687;208551612619.426;0.266985;0.00605686;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;3;46.18;121.548;5780341.84665192;270073313657.376;0.292007;0.00364371;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;4;51.22;162.232;6084951.70754578;286581499003.551;0.303087;0.00519098;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;5;55.28;200.902;6615318.37444752;463722498092.668;0.310738;0.00540326;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;6;58.61;149.838;7209334.1878157;592381243994.676;0.307818;0.00338075;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;7;63.29;184.246;7982987.01058516;828386458872.92;0.314188;0.00371763;
