id;nom;n;k;amax;Run;nbLevel;graine;ite0;score0;CPU0;start;ite;score;CPU;
8;segmentation;2100;10;210;0;10;42;16;10207243.8305985;0.0890051;0;16;10207243.8305985;0.0890051;
8;segmentation;2100;10;210;1;10;18468;26;10098226.3346556;0.140008;0;26;10098226.3346556;0.140008;
8;segmentation;2100;10;210;2;10;6335;27;9025832.00088517;0.134008;0;27;9025832.00088517;0.134008;
8;segmentation;2100;10;210;3;10;26501;39;9704915.55125135;0.218013;0;39;9704915.55125135;0.218013;
8;segmentation;2100;10;210;4;10;19170;18;9094993.39044007;0.104006;0;18;9094993.39044007;0.104006;
8;segmentation;2100;10;210;5;10;15725;21;10444909.9287388;0.119007;0;21;10444909.9287388;0.119007;
8;segmentation;2100;10;210;6;10;11479;18;9821339.57587457;0.110006;0;18;9821339.57587457;0.110006;
8;segmentation;2100;10;210;7;10;29359;11;10097392.3736362;0.0640037;0;11;10097392.3736362;0.0640037;
8;segmentation;2100;10;210;8;10;26963;41;9634255.63263913;0.232013;0;41;9634255.63263913;0.232013;
8;segmentation;2100;10;210;9;10;24465;26;9919002.96336275;0.141008;0;26;9919002.96336275;0.141008;
8;segmentation;2100;10;210;10;10;5706;17;10181218.2504407;0.0930053;0;17;10181218.2504407;0.0930053;
8;segmentation;2100;10;210;11;10;28146;24;9752113.53718478;0.144008;0;24;9752113.53718478;0.144008;
8;segmentation;2100;10;210;12;10;23282;19;9482005.84639824;0.113007;0;19;9482005.84639824;0.113007;
8;segmentation;2100;10;210;13;10;16828;20;9718748.8552532;0.134008;0;20;9718748.8552532;0.134008;
8;segmentation;2100;10;210;14;10;9962;19;9446392.86054857;0.109006;0;19;9446392.86054857;0.109006;
8;segmentation;2100;10;210;15;10;492;15;9793733.03069401;0.0820047;0;15;9793733.03069401;0.0820047;
8;segmentation;2100;10;210;16;10;2996;21;10104533.4839298;0.116007;0;21;10104533.4839298;0.116007;
8;segmentation;2100;10;210;17;10;11943;35;9732566.72349789;0.195011;0;35;9732566.72349789;0.195011;
8;segmentation;2100;10;210;18;10;4828;22;10089539.7153819;0.121007;0;22;10089539.7153819;0.121007;
8;segmentation;2100;10;210;19;10;5437;61;9605471.27202103;0.315018;0;61;9605471.27202103;0.315018;
8;segmentation;2100;10;210;20;10;32392;35;9607430.02094344;0.17501;0;35;9607430.02094344;0.17501;
8;segmentation;2100;10;210;21;10;14605;44;9587650.92613451;0.253014;0;44;9587650.92613451;0.253014;
8;segmentation;2100;10;210;22;10;3903;19;9437589.53755761;0.115007;0;19;9437589.53755761;0.115007;
8;segmentation;2100;10;210;23;10;154;22;9634823.45246157;0.123007;0;22;9634823.45246157;0.123007;
8;segmentation;2100;10;210;24;10;293;16;10088327.27148;0.0940053;0;16;10088327.27148;0.0940053;
8;segmentation;2100;10;210;25;10;12383;35;10190131.3997313;0.194011;0;35;10190131.3997313;0.194011;
8;segmentation;2100;10;210;26;10;17422;29;10018282.6727799;0.159009;0;29;10018282.6727799;0.159009;
8;segmentation;2100;10;210;27;10;18717;26;10088756.9760225;0.155009;0;26;10088756.9760225;0.155009;
8;segmentation;2100;10;210;28;10;19719;11;10442856.759695;0.0660038;0;11;10442856.759695;0.0660038;
8;segmentation;2100;10;210;29;10;19896;18;10089547.3670331;0.102006;0;18;10089547.3670331;0.102006;
8;segmentation;2100;10;210;30;10;5448;27;9509398.58726231;0.157009;0;27;9509398.58726231;0.157009;
8;segmentation;2100;10;210;31;10;21727;24;9602689.12256734;0.132008;0;24;9602689.12256734;0.132008;
8;segmentation;2100;10;210;32;10;14772;16;9453762.13541364;0.0960055;0;16;9453762.13541364;0.0960055;
8;segmentation;2100;10;210;33;10;11539;19;10089547.3670332;0.109006;0;19;10089547.3670332;0.109006;
8;segmentation;2100;10;210;34;10;1870;31;9602866.58124081;0.18301;0;31;9602866.58124081;0.18301;
8;segmentation;2100;10;210;35;10;19913;16;10089470.6449524;0.0950054;0;16;10089470.6449524;0.0950054;
8;segmentation;2100;10;210;36;10;25668;21;9626729.98446341;0.116007;0;21;9626729.98446341;0.116007;
8;segmentation;2100;10;210;37;10;26300;28;9869298.37939344;0.153009;0;28;9869298.37939344;0.153009;
8;segmentation;2100;10;210;38;10;17036;16;9514816.23477639;0.0970056;0;16;9514816.23477639;0.0970056;
8;segmentation;2100;10;210;39;10;9895;35;10220134.261306;0.192011;0;35;10220134.261306;0.192011;
8;segmentation;2100;10;210;40;10;28704;18;10448262.4812056;0.103006;0;18;10448262.4812056;0.103006;
8;segmentation;2100;10;210;41;10;23812;16;9472342.25023223;0.0930054;0;16;9472342.25023223;0.0930054;
8;segmentation;2100;10;210;42;10;31323;27;9603725.02389281;0.156009;0;27;9603725.02389281;0.156009;
8;segmentation;2100;10;210;43;10;30334;21;9478724.98010021;0.116007;0;21;9478724.98010021;0.116007;
8;segmentation;2100;10;210;44;10;17674;38;10222461.4914402;0.210012;0;38;10222461.4914402;0.210012;
8;segmentation;2100;10;210;45;10;4665;17;9700548.30096197;0.101006;0;17;9700548.30096197;0.101006;
8;segmentation;2100;10;210;46;10;15142;23;9576600.58757182;0.138008;0;23;9576600.58757182;0.138008;
8;segmentation;2100;10;210;47;10;7712;21;10097313.4454113;0.118007;0;21;10097313.4454113;0.118007;
8;segmentation;2100;10;210;48;10;28254;23;10447793.4380794;0.129007;0;23;10447793.4380794;0.129007;
8;segmentation;2100;10;210;49;10;6869;19;9896122.61430935;0.120007;0;19;9896122.61430935;0.120007;
8;segmentation;2100;10;210;50;10;25548;27;9476231.66090619;0.149008;0;27;9476231.66090619;0.149008;
8;segmentation;2100;10;210;51;10;27645;16;10248474.6024181;0.0930053;0;16;10248474.6024181;0.0930053;
8;segmentation;2100;10;210;52;10;32663;44;9546855.60629789;0.232013;0;44;9546855.60629789;0.232013;
8;segmentation;2100;10;210;53;10;32758;19;10270707.22469;0.116007;0;19;10270707.22469;0.116007;
8;segmentation;2100;10;210;54;10;20038;24;10018016.89593;0.136008;0;24;10018016.89593;0.136008;
8;segmentation;2100;10;210;55;10;12860;25;9706013.85666487;0.132008;0;25;9706013.85666487;0.132008;
8;segmentation;2100;10;210;56;10;8724;45;9137120.05780219;0.255015;0;45;9137120.05780219;0.255015;
8;segmentation;2100;10;210;57;10;9742;24;10088394.1056119;0.141008;0;24;10088394.1056119;0.141008;
8;segmentation;2100;10;210;58;10;27530;21;10088372.9876363;0.122007;0;21;10088372.9876363;0.122007;
8;segmentation;2100;10;210;59;10;779;14;10478319.6305878;0.0820047;0;14;10478319.6305878;0.0820047;
8;segmentation;2100;10;210;60;10;12317;49;10220899.6578276;0.276016;0;49;10220899.6578276;0.276016;
8;segmentation;2100;10;210;61;10;3036;18;10351160.0593789;0.101006;0;18;10351160.0593789;0.101006;
8;segmentation;2100;10;210;62;10;22191;14;10104178.9914499;0.0840048;0;14;10104178.9914499;0.0840048;
8;segmentation;2100;10;210;63;10;1843;39;9551520.26818892;0.216012;0;39;9551520.26818892;0.216012;
8;segmentation;2100;10;210;64;10;289;13;9626863.58469507;0.0790045;0;13;9626863.58469507;0.0790045;
8;segmentation;2100;10;210;65;10;30107;24;10207300.9546053;0.142008;0;24;10207300.9546053;0.142008;
8;segmentation;2100;10;210;66;10;9041;22;9630017.81202613;0.117007;0;22;9630017.81202613;0.117007;
8;segmentation;2100;10;210;67;10;8943;19;10222630.0430035;0.114007;0;19;10222630.0430035;0.114007;
8;segmentation;2100;10;210;68;10;19265;32;10114010.3673329;0.18201;0;32;10114010.3673329;0.18201;
8;segmentation;2100;10;210;69;10;22649;35;9610063.26533944;0.18201;0;35;9610063.26533944;0.18201;
8;segmentation;2100;10;210;70;10;27447;28;10088337.0594677;0.158009;0;28;10088337.0594677;0.158009;
8;segmentation;2100;10;210;71;10;23806;38;9699053.10603453;0.216012;0;38;9699053.10603453;0.216012;
8;segmentation;2100;10;210;72;10;15891;17;9603035.25399436;0.100006;0;17;9603035.25399436;0.100006;
8;segmentation;2100;10;210;73;10;6730;23;10231729.3764599;0.130007;0;23;10231729.3764599;0.130007;
8;segmentation;2100;10;210;74;10;24371;32;10181290.63327;0.17501;0;32;10181290.63327;0.17501;
8;segmentation;2100;10;210;75;10;15351;24;10097170.3260422;0.143008;0;24;10097170.3260422;0.143008;
8;segmentation;2100;10;210;76;10;15007;28;9859716.10279043;0.16601;0;28;9859716.10279043;0.16601;
8;segmentation;2100;10;210;77;10;31102;29;9263909.02768212;0.164009;0;29;9263909.02768212;0.164009;
8;segmentation;2100;10;210;78;10;24394;22;9605049.43905973;0.128007;0;22;9605049.43905973;0.128007;
8;segmentation;2100;10;210;79;10;3549;35;9152510.98770753;0.201012;0;35;9152510.98770753;0.201012;
8;segmentation;2100;10;210;80;10;19630;22;9489909.19950518;0.127007;0;22;9489909.19950518;0.127007;
